ucid,name,lives,banned
4bc1f358-90e9-4827-8a03-d2f2653300e3,esmewing0,3,true
5f8ec190-0290-4079-818c-28da4bae82da,jabbatt1,4,false
abfc775b-6d17-4dba-a73c-7d265411e96a,haddy2,3,false
2b68eeab-d0d3-4b42-a41d-e81dcdae337c,aweale3,1,false
c275eb8d-64a2-4cf6-9462-8dbd9082775d,mrief4,4,true
f6ea2ee9-7f63-4521-822f-8d48a3506786,dhannigan5,2,true
3d728d71-3b2b-4bc2-9cf4-4f4f682004b0,cangear6,5,true
cf701431-5659-45a1-9043-bed2916a5107,lhames7,1,true
ea72a8c0-60d7-48b1-9844-e3f9adad9417,pgiorgione8,1,false
c43e2422-0f25-49c9-9ce4-0d0ea4f5b134,csoitoux9,5,false
497a2748-9ebe-42ec-9a14-8ff084d33267,sfostena,1,false
18e45a5f-02a7-4e59-85d9-06fed2de15ac,jbeckerb,4,true
3e7ce6ce-2070-42ff-b20c-a12600f088f5,opritchittc,3,false
b56b1354-0926-423c-8357-c298f3cf6a95,hmcterrellyd,1,true
2ac89108-2069-4884-9512-c7a9d1b2e90b,mmcleviee,1,true
8bb4e96c-0eab-4169-ae7c-b93e78c2fd2e,lkisbeef,1,true
ee7f046c-1c79-402b-8a85-4df76bc844af,rdelortg,5,false
9856abf3-f588-4453-80f6-a56afc65068d,aduckith,5,false
20fceb4d-f7f8-41b7-9990-76061f42d92e,gbeardmorei,2,false
182875cf-2edc-48af-af07-46f190feba39,ebartij,5,false
8cdc732a-6c35-4ea3-a524-4139e03efdb2,epaydonk,5,true
2d9ddf16-1acb-4b37-b5af-cd500c5cbbfc,tstansbyl,1,true
b980153f-9015-4312-9dc6-607b69951021,gflamentm,2,true
5f794355-8706-4286-9aa2-fe59c298c7cc,lklulikn,5,false
2c898c87-fecd-4ae8-85be-00896e2d5a58,dridholeo,3,true
d79f42d4-6f19-4b0f-a9f4-461820f794a5,holehanep,3,true
6d3379f9-f65a-430a-9ef9-b609f334b61f,kpaullinq,3,true
7e8f5915-87b3-4f25-a0f0-c2feb05e79a6,lglynr,4,false
e5cd41c1-7945-4617-8557-2f9c3bf5a57d,gbellows,5,true
93775511-1b11-40a4-beea-49c28e7500a8,gwateridget,3,true
