server_id,name,ip_address,restart_time,status,last_heartbeat
1,Zoolab,180.214.216.212,9730,Offline,2017-03-04 21:00:30
2,Stringtough,13.230.76.120,5538,Offline,2017-07-27 05:33:45
3,Zaam-Dox,16.224.221.226,9271,Online,
4,Alpha,134.46.16.66,,Online,2017-05-06 04:32:22
5,Tres-Zap,45.58.187.129,7486,Online,2017-05-04 23:13:16
6,Mat Lam Tam,25.173.98.190,22783,Online,2017-11-26 21:41:57
7,Tres-Zap,232.157.122.193,,Online,2017-11-21 00:29:08
8,Lotlux,174.145.126.227,5276,Online,2017-09-25 03:12:10
9,Alpha,167.11.72.156,18206,Restarting,2018-01-22 13:07:01
10,Temp,180.182.133.179,21724,Restarting,2017-07-07 14:41:03
11,Wrapsafe,162.80.93.12,23644,Restarting,2017-10-02 08:12:16
12,Bytecard,55.62.36.149,16054,Online,2017-03-15 16:48:22
13,Home Ing,150.139.146.192,13967,Offline,2017-06-02 10:31:32
14,Lotlux,127.9.111.127,21230,Offline,
15,Tampflex,80.150.158.247,11139,Offline,2018-02-05 14:01:06
16,Solarbreeze,197.235.76.164,1052,Online,2017-06-28 19:13:45
17,Flowdesk,249.190.124.206,6470,Online,2018-02-23 06:56:30
18,Tresom,95.185.23.205,10749,Online,2018-01-21 20:48:24
19,Voyatouch,146.155.196.177,10891,Restarting,2017-07-28 18:29:05
20,Tempsoft,217.153.38.243,19054,Online,2017-04-04 21:58:37
21,Tempsoft,134.138.16.189,,Offline,2018-01-18 15:51:56
22,Keylex,197.142.41.159,16820,Restarting,2017-07-25 16:26:05
23,Keylex,65.17.3.219,2946,Offline,
24,Subin,82.1.218.240,12254,Online,2017-10-30 10:54:24
25,Bitchip,252.58.67.218,8428,Online,2017-11-18 04:57:04
26,Rank,158.208.116.178,17090,Online,2017-10-08 12:10:19
27,Zamit,171.228.148.82,1199,Offline,2017-03-17 06:38:32
28,Duobam,80.113.158.237,,Online,2017-03-29 16:12:20
29,Zathin,139.148.185.217,,Online,2017-12-30 13:25:55
30,Flowdesk,253.245.223.198,22415,Offline,2017-03-11 15:33:46
31,Cardify,120.43.3.25,3060,Restarting,2017-05-25 03:07:06
32,Stringtough,99.173.118.11,17693,Restarting,2017-05-21 10:36:31
33,Gembucket,57.92.130.168,21906,Offline,2018-02-01 05:25:40
34,Overhold,140.155.135.70,6224,Offline,2017-06-22 04:31:19
35,Lotlux,192.102.61.122,8777,Online,2018-01-25 05:48:21
36,Overhold,197.108.122.243,,Offline,
37,Transcof,51.17.77.218,2660,Restarting,2017-09-24 11:21:48
38,Bitwolf,117.199.254.224,23232,Offline,2017-12-15 18:29:19
39,Fintone,4.205.24.236,7603,Offline,2018-02-14 16:00:16
40,Veribet,143.159.242.209,11328,Online,
41,Aerified,148.157.108.69,7977,Offline,2017-12-28 05:15:14
42,Rank,16.247.167.69,17333,Restarting,2018-02-20 00:44:15
43,Lotstring,77.109.91.74,15021,Restarting,2017-11-20 08:52:42
44,Span,11.226.163.136,21582,Online,2017-12-23 01:02:28
45,Y-find,22.77.182.15,5838,Restarting,
46,Rank,133.67.85.19,10358,Restarting,2018-02-03 01:48:05
47,Viva,250.78.167.237,,Online,2017-06-29 19:41:37
