session_id,server_id,start,end,real_time_start,real_time_end,game_time_start,game_time_end,last_heartbeat
1,726,2018-01-25 20:16:46,2018-01-26 00:16:46,43484,57884,351,0,2018-01-26 00:16:46
2,319,2018-01-20 20:24:30,2018-01-21 00:24:30,57765,72165,100,0,2018-01-21 00:24:30
3,972,2018-01-05 10:56:17,2018-01-05 14:56:17,40594,54994,594,0,2018-01-05 14:56:17
4,146,2018-02-11 09:09:15,,52523,56108,252,0,2018-02-11 10:09:00
5,47,2018-02-20 15:06:04,,3027,6552,961,0,2018-02-20 16:04:49
6,330,2018-01-07 08:34:39,2018-01-07 12:34:39,34741,49141,381,0,2018-01-07 12:34:39
7,567,2018-02-08 22:00:27,2018-02-09 02:00:27,37426,51826,186,0,2018-02-09 02:00:27
8,887,2018-02-19 12:05:42,2018-02-19 16:05:42,2998,17398,783,0,2018-02-19 16:05:42
9,93,2018-02-13 02:35:30,2018-02-13 06:35:30,14377,28777,327,0,2018-02-13 06:35:30
10,488,2018-01-31 10:39:19,2018-01-31 14:39:19,17747,32147,733,0,2018-01-31 14:39:19
11,309,2018-02-13 16:24:14,,4705,14523,583,0,2018-02-13 19:07:52
12,167,2018-01-24 01:10:50,,43577,50793,389,0,2018-01-24 03:11:06
13,363,2018-02-17 00:13:49,2018-02-17 04:13:49,2921,17321,616,0,2018-02-17 04:13:49
14,935,2018-02-15 04:42:13,2018-02-15 08:42:13,40241,54641,978,0,2018-02-15 08:42:13
15,930,2018-01-25 13:57:09,2018-01-25 17:57:09,5267,19667,509,0,2018-01-25 17:57:09
16,80,2018-01-18 13:59:59,2018-01-18 17:59:59,37419,51819,206,0,2018-01-18 17:59:59
17,877,2018-02-25 22:31:08,2018-02-26 02:31:08,27287,41687,320,0,2018-02-26 02:31:08
18,658,2018-01-16 23:16:20,,58557,62193,922,0,2018-01-17 00:16:56
19,796,2018-01-01 22:31:12,2018-01-02 02:31:12,38798,53198,269,0,2018-01-02 02:31:12
20,21,2018-02-04 13:54:00,,9395,17960,246,0,2018-02-04 16:16:45
21,115,2018-01-19 11:49:53,,51833,55890,891,0,2018-01-19 12:57:30
22,199,2018-01-07 22:26:34,2018-01-08 02:26:34,33302,47702,695,0,2018-01-08 02:26:34
23,194,2018-02-12 17:10:33,2018-02-12 21:10:33,16877,31277,471,0,2018-02-12 21:10:33
