weapon,weapon_category
NULL,NULL
"Vikhr M",ROCKET
"Vikhr M",NULL
Kh-25MPU,ROCKET
Kh-25MPU,NULL
"30mm HE",NULL
Cannon,CANNON
"30mm HE",ROCKET
Igla-S,NULL
FAB-100,ROCKET
"M/71 HE-Bomb w chute",ROCKET
"Mk-82 SnakeEye",NULL
"Mk-82 SnakeEye",ROCKET
"M/71 HE-Bomb w chute",NULL
,NULL
"9M38M1 Buk-M1 (SA-11 Gadfly)",NULL
KAB-500Kr,ROCKET
FIM-92B,NULL
GBU-38,ROCKET
GBU-38,NULL
GBU-12,ROCKET
GBU-12,NULL
Mk-82,ROCKET
AGM-65D,ROCKET
"S-24B (21)",ROCKET
"S-24B (21)",NULL
AGM-122,ROCKET
AGM-122,NULL
AGM-65D,NULL
"23mm HE",NULL
"HYDRA-70 M156 WP",ROCKET
Zuni-127,ROCKET
Zuni-127,NULL
12.7mm,NULL
S-8KOM,ROCKET
ROCKEYE,ROCKET
AGM-65G,ROCKET
"9M33 Osa (SA-8 Gecko)",NULL
AIM-9M,ROCKET
AGM-65H,ROCKET
AGM-65H,NULL
S-13OF,ROCKET
S-13OF,NULL
AGM-65G,NULL
CBU-97,ROCKET
"5V27 S-125 Neva (SA-3 Goa)",NULL
Kh-58U,NULL
"HYDRA-70 M151",ROCKET
"FFAR Mk1 HE",ROCKET
Kh-58U,ROCKET
S-8OM,ROCKET
"23mm AP",NULL
Mk-82AIR,NULL
Mk-82AIR,ROCKET
"M/71 HE-Bomb",ROCKET
7.62mm,NULL
GBU-16,ROCKET
Mk-83,ROCKET
"14.5mm AP",NULL
"FFAR Mk5 HEAT",ROCKET
Mk-82,NULL
